"Date ","Winning Numbers ","Powerball® ","PowerPlay® "
" 7/14/2025 "," Powerball® Numbers 8 - 12 - 45 - 46 - 63 "," 24 "," 2 "," "
""," Double Play® Numbers 9 - 14 - 38 - 39 - 41 "," 25 "," --- "," "
" 7/12/2025 "," Powerball® Numbers 8 - 16 - 24 - 33 - 54 "," 18 "," 2 "," "
""," Double Play® Numbers 5 - 8 - 35 - 62 - 63 "," 8 "," --- "," "
" 7/9/2025 "," Powerball® Numbers 5 - 9 - 25 - 28 - 69 "," 5 "," 2 "," "
""," Double Play® Numbers 24 - 40 - 51 - 52 - 61 "," 17 "," --- "," "
" 7/7/2025 "," Powerball® Numbers 33 - 35 - 58 - 61 - 69 "," 25 "," 5 "," "
""," Double Play® Numbers 14 - 17 - 49 - 52 - 68 "," 7 "," --- "," "
" 7/5/2025 "," Powerball® Numbers 1 - 28 - 34 - 50 - 58 "," 8 "," 2 "," "
""," Double Play® Numbers 15 - 20 - 61 - 63 - 69 "," 1 "," --- "," "
" 7/2/2025 "," Powerball® Numbers 7 - 19 - 21 - 54 - 63 "," 21 "," 2 "," "
""," Double Play® Numbers 10 - 18 - 21 - 37 - 40 "," 10 "," --- "," "
" 6/30/2025 "," Powerball® Numbers 13 - 28 - 44 - 52 - 55 "," 6 "," 4 "," "
""," Double Play® Numbers 4 - 9 - 41 - 42 - 61 "," 26 "," --- "," "
" 6/28/2025 "," Powerball® Numbers 4 - 35 - 43 - 52 - 62 "," 12 "," 2 "," "
""," Double Play® Numbers 8 - 15 - 22 - 34 - 62 "," 22 "," --- "," "
" 6/25/2025 "," Powerball® Numbers 2 - 12 - 37 - 51 - 61 "," 22 "," 3 "," "
""," Double Play® Numbers 1 - 11 - 49 - 57 - 61 "," 25 "," --- "," "
" 6/23/2025 "," Powerball® Numbers 5 - 25 - 42 - 44 - 65 "," 20 "," 3 "," "
""," Double Play® Numbers 4 - 7 - 12 - 20 - 55 "," 12 "," --- "," "
" 6/21/2025 "," Powerball® Numbers 3 - 16 - 32 - 52 - 62 "," 24 "," 3 "," "
""," Double Play® Numbers 1 - 26 - 29 - 44 - 52 "," 26 "," --- "," "
" 6/18/2025 "," Powerball® Numbers 23 - 29 - 50 - 64 - 67 "," 11 "," 2 "," "
""," Double Play® Numbers 13 - 15 - 17 - 36 - 66 "," 10 "," --- "," "
" 6/16/2025 "," Powerball® Numbers 17 - 21 - 23 - 27 - 52 "," 19 "," 5 "," "
""," Double Play® Numbers 32 - 42 - 52 - 55 - 56 "," 18 "," --- "," "
" 6/14/2025 "," Powerball® Numbers 4 - 6 - 9 - 23 - 59 "," 25 "," 3 "," "
""," Double Play® Numbers 19 - 20 - 39 - 47 - 55 "," 15 "," --- "," "
" 6/11/2025 "," Powerball® Numbers 13 - 25 - 29 - 37 - 53 "," 3 "," 2 "," "
""," Double Play® Numbers 4 - 29 - 37 - 48 - 56 "," 6 "," --- "," "
" 6/9/2025 "," Powerball® Numbers 30 - 33 - 40 - 43 - 52 "," 25 "," 4 "," "
""," Double Play® Numbers 1 - 7 - 24 - 50 - 59 "," 11 "," --- "," "
" 6/7/2025 "," Powerball® Numbers 31 - 36 - 43 - 48 - 62 "," 25 "," 2 "," "
""," Double Play® Numbers 6 - 7 - 16 - 22 - 28 "," 17 "," --- "," "
" 6/4/2025 "," Powerball® Numbers 5 - 17 - 23 - 35 - 45 "," 24 "," 10 "," "
""," Double Play® Numbers 13 - 33 - 35 - 36 - 56 "," 2 "," --- "," "
" 6/2/2025 "," Powerball® Numbers 1 - 7 - 44 - 57 - 61 "," 21 "," 3 "," "
""," Double Play® Numbers 4 - 25 - 43 - 44 - 63 "," 4 "," --- "," "
" 5/31/2025 "," Powerball® Numbers 1 - 29 - 37 - 56 - 68 "," 13 "," 2 "," "
""," Double Play® Numbers 34 - 44 - 61 - 64 - 68 "," 19 "," --- "," "
" 5/28/2025 "," Powerball® Numbers 23 - 27 - 32 - 35 - 59 "," 11 "," 2 "," "
""," Double Play® Numbers 14 - 30 - 41 - 48 - 69 "," 12 "," --- "," "
" 5/26/2025 "," Powerball® Numbers 13 - 47 - 52 - 64 - 67 "," 25 "," 2 "," "
""," Double Play® Numbers 7 - 13 - 27 - 29 - 67 "," 8 "," --- "," "
" 5/24/2025 "," Powerball® Numbers 12 - 18 - 28 - 48 - 52 "," 5 "," 3 "," "
""," Double Play® Numbers 25 - 29 - 50 - 64 - 65 "," 3 "," --- "," "
" 5/21/2025 "," Powerball® Numbers 9 - 29 - 31 - 34 - 43 "," 2 "," 2 "," "
""," Double Play® Numbers 4 - 9 - 21 - 37 - 56 "," 2 "," --- "," "
" 5/19/2025 "," Powerball® Numbers 13 - 14 - 37 - 50 - 60 "," 11 "," 2 "," "
""," Double Play® Numbers 11 - 12 - 27 - 30 - 35 "," 7 "," --- "," "
" 5/17/2025 "," Powerball® Numbers 7 - 34 - 40 - 42 - 52 "," 15 "," 2 "," "
""," Double Play® Numbers 14 - 18 - 31 - 34 - 37 "," 17 "," --- "," "
" 5/14/2025 "," Powerball® Numbers 4 - 10 - 24 - 29 - 53 "," 4 "," 3 "," "
""," Double Play® Numbers 2 - 44 - 55 - 56 - 67 "," 5 "," --- "," "
" 5/12/2025 "," Powerball® Numbers 15 - 16 - 41 - 48 - 60 "," 21 "," 3 "," "
""," Double Play® Numbers 23 - 45 - 53 - 54 - 57 "," 18 "," --- "," "
" 5/10/2025 "," Powerball® Numbers 5 - 20 - 28 - 39 - 42 "," 13 "," 2 "," "
""," Double Play® Numbers 24 - 36 - 43 - 47 - 69 "," 22 "," --- "," "
" 5/7/2025 "," Powerball® Numbers 14 - 15 - 30 - 40 - 59 "," 20 "," 3 "," "
""," Double Play® Numbers 9 - 31 - 32 - 50 - 57 "," 14 "," --- "," "
" 5/5/2025 "," Powerball® Numbers 16 - 34 - 40 - 45 - 66 "," 19 "," 2 "," "
""," Double Play® Numbers 21 - 26 - 28 - 62 - 63 "," 1 "," --- "," "
" 5/3/2025 "," Powerball® Numbers 10 - 21 - 23 - 35 - 65 "," 24 "," 2 "," "
""," Double Play® Numbers 14 - 23 - 33 - 38 - 60 "," 3 "," --- "," "
" 4/30/2025 "," Powerball® Numbers 1 - 2 - 3 - 57 - 59 "," 9 "," 2 "," "
""," Double Play® Numbers 1 - 34 - 38 - 60 - 65 "," 9 "," --- "," "
" 4/28/2025 "," Powerball® Numbers 26 - 43 - 51 - 56 - 60 "," 24 "," 4 "," "
""," Double Play® Numbers 11 - 13 - 39 - 48 - 61 "," 3 "," --- "," "
" 4/26/2025 "," Powerball® Numbers 1 - 12 - 14 - 18 - 69 "," 2 "," 3 "," "
""," Double Play® Numbers 12 - 20 - 26 - 38 - 40 "," 5 "," --- "," "
" 4/23/2025 "," Powerball® Numbers 15 - 44 - 63 - 66 - 69 "," 20 "," 2 "," "
""," Double Play® Numbers 37 - 42 - 49 - 54 - 66 "," 26 "," --- "," "
" 4/21/2025 "," Powerball® Numbers 4 - 33 - 45 - 46 - 51 "," 25 "," 3 "," "
""," Double Play® Numbers 18 - 23 - 34 - 35 - 67 "," 13 "," --- "," "
" 4/19/2025 "," Powerball® Numbers 7 - 25 - 37 - 39 - 63 "," 1 "," 3 "," "
""," Double Play® Numbers 2 - 3 - 21 - 55 - 63 "," 12 "," --- "," "
" 4/16/2025 "," Powerball® Numbers 20 - 24 - 42 - 43 - 49 "," 19 "," 3 "," "
""," Double Play® Numbers 7 - 36 - 40 - 47 - 59 "," 9 "," --- "," "
" 4/14/2025 "," Powerball® Numbers 3 - 20 - 30 - 52 - 62 "," 1 "," 3 "," "
""," Double Play® Numbers 9 - 18 - 41 - 42 - 63 "," 4 "," --- "," "
" 4/12/2025 "," Powerball® Numbers 16 - 22 - 44 - 45 - 53 "," 19 "," 2 "," "
""," Double Play® Numbers 5 - 10 - 46 - 49 - 60 "," 16 "," --- "," "
" 4/9/2025 "," Powerball® Numbers 4 - 29 - 37 - 55 - 67 "," 10 "," 4 "," "
""," Double Play® Numbers 2 - 15 - 44 - 60 - 68 "," 23 "," --- "," "
" 4/7/2025 "," Powerball® Numbers 20 - 23 - 48 - 59 - 66 "," 4 "," 2 "," "
""," Double Play® Numbers 2 - 31 - 36 - 51 - 58 "," 15 "," --- "," "
" 4/5/2025 "," Powerball® Numbers 4 - 23 - 30 - 46 - 62 "," 2 "," 4 "," "
""," Double Play® Numbers 10 - 16 - 20 - 48 - 51 "," 5 "," --- "," "
" 4/2/2025 "," Powerball® Numbers 5 - 17 - 41 - 64 - 69 "," 1 "," 2 "," "
""," Double Play® Numbers 7 - 18 - 23 - 31 - 44 "," 24 "," --- "," "
" 3/31/2025 "," Powerball® Numbers 12 - 41 - 44 - 52 - 64 "," 25 "," 2 "," "
""," Double Play® Numbers 2 - 44 - 52 - 65 - 66 "," 12 "," --- "," "
" 3/29/2025 "," Powerball® Numbers 7 - 11 - 21 - 53 - 61 "," 2 "," 3 "," "
""," Double Play® Numbers 7 - 11 - 14 - 26 - 59 "," 10 "," --- "," "
" 3/26/2025 "," Powerball® Numbers 5 - 20 - 29 - 39 - 53 "," 6 "," 3 "," "
""," Double Play® Numbers 26 - 32 - 41 - 51 - 66 "," 22 "," --- "," "
" 3/24/2025 "," Powerball® Numbers 6 - 23 - 35 - 36 - 47 "," 12 "," 2 "," "
""," Double Play® Numbers 2 - 54 - 59 - 65 - 68 "," 3 "," --- "," "
" 3/22/2025 "," Powerball® Numbers 6 - 7 - 25 - 46 - 57 "," 12 "," 3 "," "
""," Double Play® Numbers 2 - 4 - 47 - 53 - 64 "," 11 "," --- "," "
" 3/19/2025 "," Powerball® Numbers 8 - 11 - 21 - 49 - 59 "," 15 "," 2 "," "
""," Double Play® Numbers 7 - 15 - 36 - 40 - 56 "," 8 "," --- "," "
" 3/17/2025 "," Powerball® Numbers 11 - 18 - 23 - 38 - 60 "," 9 "," 2 "," "
""," Double Play® Numbers 4 - 19 - 21 - 38 - 64 "," 26 "," --- "," "
" 3/15/2025 "," Powerball® Numbers 12 - 28 - 33 - 36 - 54 "," 5 "," 3 "," "
""," Double Play® Numbers 35 - 36 - 47 - 50 - 58 "," 11 "," --- "," "
" 3/12/2025 "," Powerball® Numbers 11 - 13 - 28 - 51 - 58 "," 1 "," 2 "," "
""," Double Play® Numbers 30 - 31 - 45 - 56 - 69 "," 25 "," --- "," "
" 3/10/2025 "," Powerball® Numbers 17 - 40 - 47 - 50 - 55 "," 6 "," 2 "," "
""," Double Play® Numbers 41 - 42 - 46 - 48 - 59 "," 3 "," --- "," "
" 3/8/2025 "," Powerball® Numbers 2 - 4 - 16 - 23 - 63 "," 13 "," 3 "," "
""," Double Play® Numbers 21 - 24 - 37 - 62 - 68 "," 11 "," --- "," "
" 3/5/2025 "," Powerball® Numbers 24 - 28 - 40 - 63 - 65 "," 20 "," 3 "," "
""," Double Play® Numbers 22 - 36 - 39 - 45 - 50 "," 14 "," --- "," "
" 3/3/2025 "," Powerball® Numbers 18 - 20 - 50 - 52 - 56 "," 20 "," 2 "," "
""," Double Play® Numbers 9 - 34 - 54 - 67 - 69 "," 11 "," --- "," "
" 3/1/2025 "," Powerball® Numbers 2 - 23 - 36 - 44 - 49 "," 25 "," 3 "," "
""," Double Play® Numbers 6 - 19 - 37 - 66 - 68 "," 6 "," --- "," "
" 2/26/2025 "," Powerball® Numbers 28 - 48 - 55 - 60 - 62 "," 20 "," 2 "," "
""," Double Play® Numbers 21 - 26 - 45 - 46 - 64 "," 11 "," --- "," "
" 2/24/2025 "," Powerball® Numbers 10 - 11 - 34 - 59 - 68 "," 14 "," 3 "," "
""," Double Play® Numbers 22 - 48 - 61 - 63 - 66 "," 17 "," --- "," "
" 2/22/2025 "," Powerball® Numbers 7 - 18 - 22 - 50 - 65 "," 15 "," 2 "," "
""," Double Play® Numbers 9 - 18 - 26 - 35 - 57 "," 14 "," --- "," "
" 2/19/2025 "," Powerball® Numbers 6 - 21 - 28 - 49 - 60 "," 20 "," 2 "," "
""," Double Play® Numbers 15 - 21 - 34 - 43 - 60 "," 23 "," --- "," "
" 2/17/2025 "," Powerball® Numbers 4 - 44 - 47 - 52 - 57 "," 9 "," 4 "," "
""," Double Play® Numbers 17 - 18 - 49 - 56 - 59 "," 8 "," --- "," "
" 2/15/2025 "," Powerball® Numbers 3 - 16 - 45 - 54 - 56 "," 12 "," 2 "," "
""," Double Play® Numbers 12 - 18 - 43 - 58 - 61 "," 19 "," --- "," "
" 2/12/2025 "," Powerball® Numbers 21 - 32 - 36 - 45 - 49 "," 18 "," 2 "," "
""," Double Play® Numbers 11 - 24 - 26 - 31 - 39 "," 15 "," --- "," "
" 2/10/2025 "," Powerball® Numbers 2 - 17 - 18 - 29 - 43 "," 3 "," 3 "," "
""," Double Play® Numbers 2 - 21 - 34 - 38 - 44 "," 19 "," --- "," "
" 2/8/2025 "," Powerball® Numbers 23 - 44 - 57 - 60 - 62 "," 9 "," 2 "," "
""," Double Play® Numbers 5 - 20 - 23 - 36 - 53 "," 17 "," --- "," "
" 2/5/2025 "," Powerball® Numbers 19 - 27 - 30 - 50 - 62 "," 14 "," 3 "," "
""," Double Play® Numbers 13 - 24 - 40 - 41 - 50 "," 4 "," --- "," "
" 2/3/2025 "," Powerball® Numbers 12 - 37 - 47 - 54 - 60 "," 17 "," 3 "," "
""," Double Play® Numbers 7 - 38 - 39 - 42 - 55 "," 10 "," --- "," "
" 2/1/2025 "," Powerball® Numbers 23 - 29 - 32 - 49 - 61 "," 8 "," 2 "," "
""," Double Play® Numbers 3 - 15 - 37 - 49 - 69 "," 16 "," --- "," "
" 1/29/2025 "," Powerball® Numbers 8 - 12 - 31 - 33 - 38 "," 18 "," 3 "," "
""," Double Play® Numbers 18 - 28 - 41 - 63 - 68 "," 4 "," --- "," "
" 1/27/2025 "," Powerball® Numbers 2 - 40 - 47 - 53 - 55 "," 20 "," 2 "," "
""," Double Play® Numbers 1 - 9 - 34 - 63 - 67 "," 6 "," --- "," "
" 1/25/2025 "," Powerball® Numbers 8 - 15 - 17 - 53 - 66 "," 14 "," 3 "," "
""," Double Play® Numbers 2 - 5 - 52 - 59 - 60 "," 16 "," --- "," "
" 1/22/2025 "," Powerball® Numbers 5 - 6 - 27 - 40 - 49 "," 5 "," 2 "," "
""," Double Play® Numbers 1 - 12 - 39 - 40 - 52 "," 15 "," --- "," "
" 1/20/2025 "," Powerball® Numbers 15 - 16 - 32 - 47 - 54 "," 6 "," 3 "," "
""," Double Play® Numbers 10 - 23 - 33 - 38 - 54 "," 17 "," --- "," "
" 1/18/2025 "," Powerball® Numbers 14 - 31 - 35 - 64 - 69 "," 23 "," 2 "," "
""," Double Play® Numbers 7 - 34 - 40 - 48 - 57 "," 17 "," --- "," "
" 1/15/2025 "," Powerball® Numbers 8 - 41 - 52 - 53 - 58 "," 7 "," 3 "," "
""," Double Play® Numbers 11 - 15 - 25 - 51 - 54 "," 15 "," --- "," "
" 1/13/2025 "," Powerball® Numbers 4 - 6 - 16 - 39 - 66 "," 9 "," 2 "," "
""," Double Play® Numbers 29 - 30 - 32 - 37 - 56 "," 18 "," --- "," "
" 1/11/2025 "," Powerball® Numbers 3 - 6 - 32 - 37 - 65 "," 4 "," 3 "," "
""," Double Play® Numbers 22 - 24 - 25 - 44 - 53 "," 20 "," --- "," "
" 1/8/2025 "," Powerball® Numbers 1 - 20 - 36 - 38 - 43 "," 24 "," 2 "," "
""," Double Play® Numbers 22 - 29 - 36 - 61 - 65 "," 17 "," --- "," "
" 1/6/2025 "," Powerball® Numbers 17 - 34 - 46 - 66 - 67 "," 14 "," 2 "," "
""," Double Play® Numbers 41 - 44 - 54 - 57 - 64 "," 13 "," --- "," "
" 1/4/2025 "," Powerball® Numbers 26 - 32 - 43 - 54 - 56 "," 24 "," 2 "," "
""," Double Play® Numbers 12 - 25 - 63 - 65 - 66 "," 14 "," --- "," "
" 1/1/2025 "," Powerball® Numbers 6 - 12 - 28 - 35 - 66 "," 26 "," 3 "," "
""," Double Play® Numbers 8 - 10 - 25 - 33 - 66 "," 20 "," --- "," "
" 12/30/2024 "," Powerball® Numbers 9 - 19 - 33 - 38 - 39 "," 1 "," 3 "," "
""," Double Play® Numbers 15 - 34 - 52 - 56 - 57 "," 14 "," --- "," "
" 12/28/2024 "," Powerball® Numbers 6 - 31 - 51 - 54 - 55 "," 12 "," 2 "," "
""," Double Play® Numbers 22 - 40 - 42 - 54 - 68 "," 7 "," --- "," "
" 12/25/2024 "," Powerball® Numbers 15 - 26 - 27 - 30 - 35 "," 3 "," 3 "," "
""," Double Play® Numbers 8 - 29 - 30 - 47 - 57 "," 1 "," --- "," "
" 12/23/2024 "," Powerball® Numbers 22 - 42 - 44 - 57 - 64 "," 18 "," 2 "," "
""," Double Play® Numbers 16 - 49 - 62 - 63 - 68 "," 10 "," --- "," "
" 12/21/2024 "," Powerball® Numbers 1 - 12 - 17 - 21 - 58 "," 1 "," 3 "," "
""," Double Play® Numbers 29 - 45 - 46 - 51 - 59 "," 3 "," --- "," "
" 12/18/2024 "," Powerball® Numbers 6 - 15 - 18 - 33 - 49 "," 7 "," 2 "," "
""," Double Play® Numbers 41 - 45 - 52 - 56 - 67 "," 6 "," --- "," "
" 12/16/2024 "," Powerball® Numbers 9 - 30 - 33 - 57 - 61 "," 17 "," 2 "," "
""," Double Play® Numbers 2 - 7 - 15 - 21 - 56 "," 12 "," --- "," "
" 12/14/2024 "," Powerball® Numbers 12 - 17 - 23 - 52 - 67 "," 1 "," 2 "," "
""," Double Play® Numbers 12 - 16 - 36 - 55 - 64 "," 3 "," --- "," "
" 12/11/2024 "," Powerball® Numbers 13 - 44 - 50 - 52 - 54 "," 20 "," 2 "," "
""," Double Play® Numbers 18 - 23 - 34 - 60 - 62 "," 19 "," --- "," "
" 12/9/2024 "," Powerball® Numbers 35 - 37 - 40 - 45 - 51 "," 24 "," 2 "," "
""," Double Play® Numbers 7 - 17 - 28 - 44 - 54 "," 8 "," --- "," "
" 12/7/2024 "," Powerball® Numbers 1 - 31 - 43 - 55 - 57 "," 22 "," 2 "," "
""," Double Play® Numbers 8 - 10 - 39 - 57 - 61 "," 12 "," --- "," "
" 12/4/2024 "," Powerball® Numbers 1 - 23 - 25 - 28 - 61 "," 13 "," 2 "," "
""," Double Play® Numbers 14 - 35 - 43 - 48 - 54 "," 1 "," --- "," "
" 12/2/2024 "," Powerball® Numbers 3 - 9 - 26 - 61 - 67 "," 13 "," 2 "," "
""," Double Play® Numbers 14 - 27 - 34 - 39 - 40 "," 4 "," --- "," "
" 11/30/2024 "," Powerball® Numbers 4 - 24 - 29 - 39 - 63 "," 25 "," 4 "," "
""," Double Play® Numbers 9 - 21 - 37 - 43 - 61 "," 23 "," --- "," "
" 11/27/2024 "," Powerball® Numbers 1 - 6 - 7 - 13 - 40 "," 5 "," 5 "," "
""," Double Play® Numbers 19 - 37 - 41 - 42 - 62 "," 13 "," --- "," "
" 11/25/2024 "," Powerball® Numbers 5 - 35 - 45 - 60 - 63 "," 12 "," 2 "," "
""," Double Play® Numbers 2 - 13 - 25 - 27 - 39 "," 10 "," --- "," "
" 11/23/2024 "," Powerball® Numbers 12 - 13 - 34 - 44 - 67 "," 8 "," 3 "," "
""," Double Play® Numbers 36 - 40 - 41 - 50 - 60 "," 13 "," --- "," "
" 11/20/2024 "," Powerball® Numbers 16 - 30 - 60 - 62 - 64 "," 25 "," 3 "," "
""," Double Play® Numbers 3 - 10 - 37 - 40 - 68 "," 1 "," --- "," "
" 11/18/2024 "," Powerball® Numbers 27 - 31 - 41 - 52 - 69 "," 26 "," 3 "," "
""," Double Play® Numbers 2 - 6 - 24 - 36 - 43 "," 13 "," --- "," "
" 11/16/2024 "," Powerball® Numbers 21 - 22 - 25 - 32 - 38 "," 16 "," 5 "," "
""," Double Play® Numbers 16 - 23 - 31 - 59 - 63 "," 10 "," --- "," "
" 11/13/2024 "," Powerball® Numbers 9 - 20 - 26 - 43 - 58 "," 9 "," 2 "," "
""," Double Play® Numbers 14 - 41 - 45 - 55 - 59 "," 13 "," --- "," "
" 11/11/2024 "," Powerball® Numbers 3 - 21 - 24 - 34 - 46 "," 9 "," 3 "," "
""," Double Play® Numbers 16 - 23 - 38 - 40 - 57 "," 10 "," --- "," "
" 11/9/2024 "," Powerball® Numbers 11 - 24 - 50 - 56 - 66 "," 16 "," 2 "," "
""," Double Play® Numbers 9 - 28 - 40 - 55 - 57 "," 22 "," --- "," "
" 11/6/2024 "," Powerball® Numbers 12 - 17 - 37 - 58 - 62 "," 4 "," 2 "," "
""," Double Play® Numbers 12 - 16 - 17 - 39 - 45 "," 10 "," --- "," "
" 11/4/2024 "," Powerball® Numbers 6 - 18 - 33 - 48 - 53 "," 21 "," 10 "," "
""," Double Play® Numbers 8 - 14 - 16 - 34 - 51 "," 14 "," --- "," "
" 11/2/2024 "," Powerball® Numbers 10 - 45 - 48 - 58 - 61 "," 2 "," 3 "," "
""," Double Play® Numbers 4 - 20 - 37 - 48 - 58 "," 24 "," --- "," "
" 10/30/2024 "," Powerball® Numbers 13 - 22 - 29 - 43 - 58 "," 22 "," 3 "," "
""," Double Play® Numbers 18 - 36 - 39 - 49 - 62 "," 12 "," --- "," "
" 10/28/2024 "," Powerball® Numbers 21 - 27 - 32 - 48 - 67 "," 17 "," 2 "," "
""," Double Play® Numbers 6 - 16 - 19 - 24 - 40 "," 5 "," --- "," "
" 10/26/2024 "," Powerball® Numbers 8 - 12 - 40 - 45 - 51 "," 15 "," 2 "," "
""," Double Play® Numbers 1 - 7 - 25 - 27 - 57 "," 18 "," --- "," "
" 10/23/2024 "," Powerball® Numbers 2 - 15 - 27 - 29 - 39 "," 20 "," 2 "," "
""," Double Play® Numbers 1 - 42 - 43 - 58 - 66 "," 20 "," --- "," "
" 10/21/2024 "," Powerball® Numbers 1 - 25 - 57 - 62 - 64 "," 15 "," 2 "," "
""," Double Play® Numbers 2 - 3 - 7 - 26 - 34 "," 1 "," --- "," "
" 10/19/2024 "," Powerball® Numbers 7 - 16 - 19 - 45 - 64 "," 25 "," 3 "," "
""," Double Play® Numbers 19 - 39 - 53 - 57 - 68 "," 16 "," --- "," "
" 10/16/2024 "," Powerball® Numbers 4 - 30 - 39 - 44 - 60 "," 11 "," 2 "," "
""," Double Play® Numbers 29 - 35 - 41 - 53 - 68 "," 9 "," --- "," "
" 10/14/2024 "," Powerball® Numbers 14 - 18 - 33 - 64 - 67 "," 14 "," 2 "," "
""," Double Play® Numbers 7 - 29 - 31 - 41 - 54 "," 8 "," --- "," "
" 10/12/2024 "," Powerball® Numbers 5 - 14 - 20 - 41 - 57 "," 6 "," 3 "," "
""," Double Play® Numbers 18 - 22 - 32 - 41 - 49 "," 24 "," --- "," "
" 10/9/2024 "," Powerball® Numbers 25 - 32 - 43 - 53 - 66 "," 10 "," 3 "," "
""," Double Play® Numbers 4 - 14 - 29 - 33 - 59 "," 17 "," --- "," "
" 10/7/2024 "," Powerball® Numbers 18 - 30 - 31 - 52 - 63 "," 22 "," 2 "," "
""," Double Play® Numbers 24 - 27 - 47 - 49 - 55 "," 11 "," --- "," "
" 10/5/2024 "," Powerball® Numbers 2 - 12 - 46 - 52 - 65 "," 3 "," 2 "," "
""," Double Play® Numbers 15 - 16 - 27 - 30 - 57 "," 24 "," --- "," "
" 10/2/2024 "," Powerball® Numbers 1 - 2 - 21 - 37 - 43 "," 21 "," 3 "," "
""," Double Play® Numbers 39 - 44 - 45 - 46 - 66 "," 13 "," --- "," "
" 9/30/2024 "," Powerball® Numbers 9 - 11 - 30 - 43 - 69 "," 20 "," 2 "," "
""," Double Play® Numbers 17 - 32 - 39 - 43 - 53 "," 2 "," --- "," "
" 9/28/2024 "," Powerball® Numbers 3 - 11 - 13 - 24 - 39 "," 22 "," 3 "," "
""," Double Play® Numbers 6 - 7 - 17 - 20 - 57 "," 10 "," --- "," "
" 9/25/2024 "," Powerball® Numbers 2 - 26 - 45 - 46 - 52 "," 21 "," 2 "," "
""," Double Play® Numbers 6 - 32 - 51 - 62 - 69 "," 26 "," --- "," "
" 9/23/2024 "," Powerball® Numbers 15 - 21 - 25 - 37 - 45 "," 19 "," 3 "," "
""," Double Play® Numbers 23 - 39 - 57 - 61 - 67 "," 10 "," --- "," "
" 9/21/2024 "," Powerball® Numbers 17 - 19 - 21 - 37 - 45 "," 14 "," 2 "," "
""," Double Play® Numbers 4 - 17 - 37 - 46 - 49 "," 19 "," --- "," "
" 9/18/2024 "," Powerball® Numbers 1 - 11 - 22 - 47 - 68 "," 7 "," 4 "," "
""," Double Play® Numbers 16 - 23 - 50 - 53 - 66 "," 14 "," --- "," "
" 9/16/2024 "," Powerball® Numbers 8 - 9 - 11 - 27 - 31 "," 17 "," 5 "," "
""," Double Play® Numbers 13 - 25 - 38 - 40 - 63 "," 23 "," --- "," "
" 9/14/2024 "," Powerball® Numbers 29 - 34 - 38 - 48 - 56 "," 16 "," 2 "," "
""," Double Play® Numbers 1 - 26 - 38 - 52 - 55 "," 16 "," --- "," "
" 9/11/2024 "," Powerball® Numbers 10 - 12 - 55 - 65 - 67 "," 3 "," 3 "," "
""," Double Play® Numbers 6 - 9 - 15 - 17 - 20 "," 3 "," --- "," "
" 9/9/2024 "," Powerball® Numbers 1 - 16 - 21 - 47 - 60 "," 5 "," 3 "," "
""," Double Play® Numbers 10 - 14 - 38 - 42 - 45 "," 26 "," --- "," "
